2024-04-28 20:51:38,662 [INFO ] 33 | Entry Type: Long | Entry Price: 68013.06 | Exit Price: 68266.62 | Entry Time: 2024-03-18 05:04:59.999000+02:00 | Exit Time: 2024-03-18 09:24:59.999000+02:00 | Profit/Loss (%): 0.72 | Volatility: 0.83
2024-04-28 20:51:38,663 [INFO ] 34 | Entry Type: Short | Entry Price: 68243.65 | Exit Price: 68333.9 | Entry Time: 2024-03-18 09:24:59.999000+02:00 | Exit Time: 2024-03-18 13:24:59.999000+02:00 | Profit/Loss (%): 0.05 | Volatility: 1.52
2024-04-28 20:51:38,664 [INFO ] 35 | Entry Type: Long | Entry Price: 68309.69 | Exit Price: 68204.0 | Entry Time: 2024-03-18 13:24:59.999000+02:00 | Exit Time: 2024-03-18 15:24:59.999000+02:00 | Profit/Loss (%): -0.03 | Volatility: 0.26
2024-04-28 20:51:38,665 [INFO ] 36 | Entry Type: Short | Entry Price: 67929.86 | Exit Price: 67591.56 | Entry Time: 2024-03-18 15:24:59.999000+02:00 | Exit Time: 2024-03-18 18:14:59.999000+02:00 | Profit/Loss (%): 1.02 | Volatility: 1.42
2024-04-28 20:51:38,666 [INFO ] 37 | Entry Type: Long | Entry Price: 67591.55 | Exit Price: 66843.99 | Entry Time: 2024-03-18 18:14:59.999000+02:00 | Exit Time: 2024-03-18 19:09:59.999000+02:00 | Profit/Loss (%): -0.98 | Volatility: 0.13
2024-04-28 20:51:38,667 [INFO ] 38 | Entry Type: Short | Entry Price: 66732.35 | Exit Price: 67638.11 | Entry Time: 2024-03-18 19:09:59.999000+02:00 | Exit Time: 2024-03-18 23:09:59.999000+02:00 | Profit/Loss (%): -1.08 | Volatility: 1.61
2024-04-28 20:51:38,668 [INFO ] 39 | Entry Type: Long | Entry Price: 67538.57 | Exit Price: 67544.0 | Entry Time: 2024-03-18 23:09:59.999000+02:00 | Exit Time: 2024-03-19 02:44:59.999000+02:00 | Profit/Loss (%): -0.05 | Volatility: 0.37
2024-04-28 20:51:38,669 [INFO ] 40 | Entry Type: Short | Entry Price: 67429.99 | Exit Price: 63445.1 | Entry Time: 2024-03-19 02:44:59.999000+02:00 | Exit Time: 2024-03-19 14:04:59.999000+02:00 | Profit/Loss (%): 6.58 | Volatility: 1.39
2024-04-28 20:51:38,670 [INFO ] 41 | Entry Type: Long | Entry Price: 63115.72 | Exit Price: 62999.45 | Entry Time: 2024-03-19 14:04:59.999000+02:00 | Exit Time: 2024-03-19 16:19:59.999000+02:00 | Profit/Loss (%): -0.42 | Volatility: 0.47
2024-04-28 20:51:38,670 [INFO ] 42 | Entry Type: Short | Entry Price: 62680.01 | Exit Price: 64000.0 | Entry Time: 2024-03-19 16:19:59.999000+02:00 | Exit Time: 2024-03-19 17:44:59.999000+02:00 | Profit/Loss (%): -1.52 | Volatility: 2.54
2024-04-28 20:51:38,671 [INFO ] 43 | Entry Type: Long | Entry Price: 63940.37 | Exit Price: 64500.12 | Entry Time: 2024-03-19 17:44:59.999000+02:00 | Exit Time: 2024-03-19 22:04:59.999000+02:00 | Profit/Loss (%): 0.97 | Volatility: 1.24
2024-04-28 20:51:38,672 [INFO ] 44 | Entry Type: Short | Entry Price: 63960.38 | Exit Price: 63386.14 | Entry Time: 2024-03-19 22:04:59.999000+02:00 | Exit Time: 2024-03-20 02:59:59.999000+02:00 | Profit/Loss (%): 2.27 | Volatility: 2.86
2024-04-28 20:51:38,673 [INFO ] 45 | Entry Type: Long | Entry Price: 63230.02 | Exit Price: 62308.3 | Entry Time: 2024-03-20 02:59:59.999000+02:00 | Exit Time: 2024-03-20 03:24:59.999000+02:00 | Profit/Loss (%): -0.99 | Volatility: 0.14
2024-04-28 20:51:38,674 [INFO ] 46 | Entry Type: Short | Entry Price: 62025.4 | Exit Price: 62658.59 | Entry Time: 2024-03-20 03:24:59.999000+02:00 | Exit Time: 2024-03-20 04:09:59.999000+02:00 | Profit/Loss (%): -0.35 | Volatility: 1.25
2024-04-28 20:51:38,675 [INFO ] 47 | Entry Type: Long | Entry Price: 62615.05 | Exit Price: 62850.0 | Entry Time: 2024-03-20 04:09:59.999000+02:00 | Exit Time: 2024-03-20 05:49:59.999000+02:00 | Profit/Loss (%): 0.24 | Volatility: 0.62
2024-04-28 20:51:38,676 [INFO ] 48 | Entry Type: Short | Entry Price: 62390.01 | Exit Price: 61998.99 | Entry Time: 2024-03-20 05:49:59.999000+02:00 | Exit Time: 2024-03-20 08:29:59.999000+02:00 | Profit/Loss (%): 1.39 | Volatility: 1.96
2024-04-28 20:51:38,677 [INFO ] 49 | Entry Type: Long | Entry Price: 61987.09 | Exit Price: 64150.0 | Entry Time: 2024-03-20 08:29:59.999000+02:00 | Exit Time: 2024-03-20 17:29:59.999000+02:00 | Profit/Loss (%): 3.61 | Volatility: 3.99
2024-04-28 20:51:38,678 [INFO ] 50 | Entry Type: Short | Entry Price: 63934.38 | Exit Price: 64776.72 | Entry Time: 2024-03-20 17:29:59.999000+02:00 | Exit Time: 2024-03-20 19:19:59.999000+02:00 | Profit/Loss (%): 0.6 | Volatility: 4.31
2024-04-28 20:51:38,679 [INFO ] 51 | Entry Type: Long | Entry Price: 64508.35 | Exit Price: 67574.51 | Entry Time: 2024-03-20 19:19:59.999000+02:00 | Exit Time: 2024-03-21 00:49:59.999000+02:00 | Profit/Loss (%): 6.11 | Volatility: 6.1
2024-04-28 20:51:38,680 [INFO ] 52 | Entry Type: Short | Entry Price: 67422.2 | Exit Price: 67932.6 | Entry Time: 2024-03-21 00:49:59.999000+02:00 | Exit Time: 2024-03-21 04:24:59.999000+02:00 | Profit/Loss (%): -0.48 | Volatility: 0.86
2024-04-28 20:51:38,681 [INFO ] 53 | Entry Type: Long | Entry Price: 67815.99 | Exit Price: 67730.01 | Entry Time: 2024-03-21 04:24:59.999000+02:00 | Exit Time: 2024-03-21 04:54:59.999000+02:00 | Profit/Loss (%): -0.21 | Volatility: 0.04
2024-04-28 20:51:38,682 [INFO ] 54 | Entry Type: Short | Entry Price: 67640.37 | Exit Price: 67241.1 | Entry Time: 2024-03-21 04:54:59.999000+02:00 | Exit Time: 2024-03-21 08:04:59.999000+02:00 | Profit/Loss (%): 1.06 | Volatility: 1.73
2024-04-28 20:51:38,683 [INFO ] 55 | Entry Type: Long | Entry Price: 67228.01 | Exit Price: 67119.67 | Entry Time: 2024-03-21 08:04:59.999000+02:00 | Exit Time: 2024-03-21 11:19:59.999000+02:00 | Profit/Loss (%): 0.14 | Volatility: 0.31
2024-04-28 20:51:38,684 [INFO ] 56 | Entry Type: Short | Entry Price: 67057.17 | Exit Price: 67229.62 | Entry Time: 2024-03-21 11:19:59.999000+02:00 | Exit Time: 2024-03-21 13:39:59.999000+02:00 | Profit/Loss (%): 0.11 | Volatility: 0.86
2024-04-28 20:51:38,685 [INFO ] 57 | Entry Type: Long | Entry Price: 67077.55 | Exit Price: 67110.49 | Entry Time: 2024-03-21 13:39:59.999000+02:00 | Exit Time: 2024-03-21 15:49:59.999000+02:00 | Profit/Loss (%): 0.01 | Volatility: 0.16
